Item ID,Item_Description,Category,Year_Month_Str,Actual,Baseline_Predicted,Method,GB_Predicted
S37-MLPPSS-BRWN,Multi-function Passport Holder Wallet with Simcard Slot - Brown,Travel,2025-12,1,1.0,SMA(3),1.0
S37-MLPPSS-BRWN,Multi-function Passport Holder Wallet with Simcard Slot - Brown,Travel,2026-01,2,1.0,SMA(3),2.0
S37-MLPPSS-NAVY,Multi-function Passport Holder Wallet with Simcard Slot - Navy,Travel,2025-09,1,2.3,SMA(3),1.0
S38-BDSWBP-GREN,Bird Shaped Self Watering Bulb for Plants - Green,Home & Living,2025-08,7,6.7,SMA(3),7.3
S38-BDSWBP-GREN,Bird Shaped Self Watering Bulb for Plants - Green,Home & Living,2025-09,5,8.7,SMA(3),5.2
S38-BDSWBP-GREN,Bird Shaped Self Watering Bulb for Plants - Green,Home & Living,2025-10,12,7.3,SMA(3),11.7
S38-BDSWBP-GREN,Bird Shaped Self Watering Bulb for Plants - Green,Home & Living,2025-11,6,8.0,SMA(3),5.7
S38-BDSWBP-GREN,Bird Shaped Self Watering Bulb for Plants - Green,Home & Living,2025-12,12,7.7,SMA(3),10.9
S38-BDSWBP-GREN,Bird Shaped Self Watering Bulb for Plants - Green,Home & Living,2026-01,16,10.0,SMA(3),14.8
S38-CLSPCH-SBLK,Auto-close Silicone Pouch - Small Black,Wallets & Cases,2025-07,4,2.0,SMA(3),3.8
S38-CLSPCH-SBLK,Auto-close Silicone Pouch - Small Black,Wallets & Cases,2025-08,3,3.0,SMA(3),3.3
S38-CLSPCH-SBLK,Auto-close Silicone Pouch - Small Black,Wallets & Cases,2025-09,2,3.0,SMA(3),2.0
S38-CLSPCH-SBLK,Auto-close Silicone Pouch - Small Black,Wallets & Cases,2025-10,2,3.0,SMA(3),2.2
S38-CLSPCH-SBLK,Auto-close Silicone Pouch - Small Black,Wallets & Cases,2025-11,1,2.3,SMA(3),1.0
S38-CLSPCH-SBLK,Auto-close Silicone Pouch - Small Black,Wallets & Cases,2025-12,3,1.7,SMA(3),2.8
S38-CLSPCH-SBLK,Auto-close Silicone Pouch - Small Black,Wallets & Cases,2026-01,1,2.0,SMA(3),1.0
S38-CLSPCH-SCRM,Auto-close Silicone Pouch - Small Cream,Wallets & Cases,2025-08,2,1.7,SMA(3),2.0
