Category,Baseline_MAE,GB_MAE,Baseline_R²,GB_R²,Baseline_MAPE,GB_MAPE,MAE_Improvement_%
Beauty & Fashion,1.9028,0.3028,-1.0056,0.9393,88.9413,13.5842,84.0864
Electronics,2.3689,0.2311,-1.8003,0.9662,141.2246,11.8836,90.2439
Home & Living,23.1062,2.7209,-0.0495,0.9746,173.3112,14.0443,88.2244
Organizers,3.9875,0.8883,0.0536,0.9295,87.0158,22.5193,77.7236
Stationery,6.3175,0.7525,0.5242,0.9914,115.625,11.5973,88.0886
Toys,3.4068,0.4441,0.2019,0.9889,93.3716,10.3015,86.9652
Travel,1.7039,0.2903,-0.3631,0.8978,71.308,10.6295,82.961
Wallets & Cases,4.6686,0.6279,0.5064,0.9881,96.5019,9.3668,86.5508
