Category,MAE,R²,Count
Electronics,0.23270500549376175,0.9671438802888087,46.0
Travel,0.28775829635818295,0.8983455195842477,156.0
Beauty & Fashion,0.3032170927883521,0.9374132714581407,116.0
Toys,0.44303882359607305,0.9890292028622797,60.0
Wallets & Cases,0.7420651941517264,0.9641983344406561,484.0
Organizers,0.903344633900243,0.928366730490745,661.0
Stationery,2.594121279216891,0.5047874567298278,82.0
Home & Living,2.6577463766728173,0.9748760570466207,472.0
