,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,24080145BJKKBN,S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,3,14.85,32,
,24080145BJKKBN,S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow ,3,14.85,35,
,24080145BJKKBN,S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,3,14.85,35,
,24080145FEK0BC,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,31,
,24080148062MW8,S06-LDHAMP-LHPP,Laundry Hamper - Large Hippo,1,199.00,31,
,2408014D1YJMUC,S31-LMSWST-BN95,Plain Leather Magsafe Snap On Wallet with Stand - Brown 9.5,1,189.00,35,
,2408014RM28K5N,S14-PCTOIL-BLCK,Pouch Toiletry Organizer - Black,1,139.00,27,
,2408014S3P0DBJ,S28-GRWBG2-LB02,Gardening Grow Bag Design 2 - Light Brown - 2 Gallon (20*20cm),10,38.00,34,
,2408014S3P0DBJ,S28-GRWBG2-GN10,Gardening Grow Bag Design 2 - Green - 10 Gallon (40*30cm),2,85.00,33,
,2408014V0S86TM,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,1,199.00,32,
,24080153JQ77GY,S06-LDHAMP-LBDN,Laundry Hamper - Large Blue Dinosaur,1,199.00,31,
,24080157F9JVGA,S11-SQTOIL-GRAY,Square Toiletry Organizer - Gray,1,199.00,28,
,24080158YU2DFW,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),5,109.00,34,
,24080159874DM8,S19-FELTFO-LBEG,Felt Foldable Organizer - Large Beige,1,149.00,32,
,2408015F36E0JN,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,31,
,2408015JJ41A2Q,S03-FOLDFL-LBLK,Foldable File Organizer - Large Black,1,89.00,32,
,2408015MED8WPT,S19-LMFPSS-BLCK,PU Leather Multi-function Passport Holder - Black,1,119.00,30,
,2408015N9G79W4,S28-GRWBG2-BK05,Gardening Grow Bag Design 2 - Black - 5 Gallon (30*25cm),4,49.00,35,
,2408015N9G79W4,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),4,79.00,35,
,2408015N9G79W4,S30-GRWBG2-BK07,Gardening Grow Bag Design 2 - Black - 7 Gallon (35*30cm),4,59.00,35,
,2408015P3C0REA,S27-APDCSE-SWP2,Airpod Case - Side Lock Style - White - Pro 2nd Gen,1,159.00,33,
,2408015PBXMCMU,S28-GRWBG2-GN03,Gardening Grow Bag Design 2 - Green - 3 Gallon (25*22cm),10,45.00,34,
,2408015RUNP8CR,S21-LDHAMP-LACF,Laundry Hamper - Large Aircraft,1,199.00,32,
,2408015RUNP8CR,S11-FABORG-WWHA,Fabric Foldable Rectangle Organizer - White Whales,1,25.00,19,
,2408015UK5P6JX,S14-CUPCVR-CEOB,Cup Cover - Cat Ears - Orange / Black,1,59.00,27,
,2408015WQGF6SV,S11-SQTOIL-BLCK,Square Toiletry Organizer - Black,1,199.00,28,
,2408015WT0K5N0,S20-SLCAPD-R1SW,Silicone Case Bluetooth Earphones - 3rd Gen - Switch,1,69.00,33,
,2408015Y3J03DW,S31-FELTBG-LBLK,Felt Insert Bag with Multi Pockets - Black Large (28*25*17cm),1,145.00,31,
,24080160CK7035,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,2408016227VA56,S31-ACPPCH-LGRN,Auto-close PU Leather Pouch - Large Green,1,49.00,31,
,2408016227VA56,S27-SLCAPD-3CGR,Silicone Case Bluetooth Earphones - 3rd Gen - Controller - Gray,1,169.00,31,
,2408016234EU5S,S20-8TBOTS-GRAY,8-in-1 Travel Bottle Set - Stupid Little Elephant - Gray,2,99.00,27,
,240801662TYPXF,S05-RFIDWL-GRAY,RFID Card Wallet - Gray,2,55.00,29,
,240801662TYPXF,S05-RFIDWL-REDD,RFID Card Wallet - Red,2,55.00,28,
,240801662TYPXF,S05-RFIDWL-BLUE,RFID Card Wallet - Blue,2,55.00,22,
,24080166YRXNC4,S22-MNYCLP-SDLR,Money Clip Steel - Silver Dollar Sign,1,65.00,29,
,24080166YRXNC4,S13-MNYCLP-GOLD,Money Clip Steel - Gold,1,42.00,30,
,24080168TQAN2X,S05-RFIDWL-REDD,RFID Card Wallet - Red,1,55.00,28,
,2408016CNDJK2X,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,189.00,35,
,2408016D5W06R7,S13-MNYCLP-SLVR,Money Clip Steel - Silver,2,39.00,31,
,2408016DJM788E,S04-WBKEND-0RND,Wooden Bookend - No Print Round Corner,2,99.00,29,
,2408016EPVV1UM,S06-LDHAMP-LBDN,Laundry Hamper - Large Blue Dinosaur,1,199.00,31,
,2408016EPVV1UM,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,199.00,33,
,2408016G2F4KGV,S28-SLCAPD-PBP2,Silicone Case Bluetooth Earphones - Pro 2nd Gen - Pokeball,1,69.00,30,
,2408016GAWYX3H,S03-FOLDFL-LAPR,Foldable File Organizer - Large Apricot,2,89.00,32,
,2408016GAWYX3H,S19-WBKEND-WLQ0,Wooden Bookend - Dark Walnut Large Square No Logo,1,279.00,29,
,2408016J8PV9KK,S20-PRSBT1-PINK,10ml Perfume Alcohol Spray Bottle - Pink,1,25.00,25,
,2408026KYA254P,S31-LMSWST-NV95,Plain Leather Magsafe Snap On Wallet with Stand - Navy 9.5,1,189.00,35,
,2408026UT8VR7Y,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,30,
,2408026X8AN3P7,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,189.00,35,
,2408026YPW843V,S30-GRWBG2-BK07,Gardening Grow Bag Design 2 - Black - 7 Gallon (35*30cm),4,59.00,35,
,2408027863NM3D,S28-GRWBG2-LB20,Gardening Grow Bag Design 2 - Light Brown - 20 Gallon (50*40cm),3,119.00,34,
,2408027M3RCRAA,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),5,79.00,35,
,2408027M3RCRAA,S28-GRWBG2-BK01,Gardening Grow Bag Design 2 - Black - 1 Gallon (18*15cm) no handle,10,25.00,34,
,2408027PNWN1K9,S19-LDHAMP-MCTV,Laundry Hamper - Medium Construction Vehicles,1,159.00,30,
,2408027PNWN1K9,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,34,
,2408027RBWRF65,S28-GRWBG2-BK02,Gardening Grow Bag Design 2 - Black - 2 Gallon (20*20cm),5,29.00,34,
,2408027TACNAM0,S19-LMFPSS-BLCK,PU Leather Multi-function Passport Holder - Black,1,119.00,30,
,2408027UD1RE1X,S20-SLCAPD-R1SW,Silicone Case Bluetooth Earphones - 3rd Gen - Switch,1,69.00,33,
,2408027UX9WC6W,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),3,109.00,34,
,2408027VBRYUY2,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,30,
,2408027VBRYUY2,S23-INFNPL-GRAY,Inflatable Travel Neck Pillow  - Gray,1,88.00,34,
,2408027W0GR529,S19-WBKEND-WLR0,Wooden Bookend - Dark Walnut Large Round No Logo,1,279.00,31,
,24080282GJ2260,S04-WBKEND-0RND,Wooden Bookend - No Print Round Corner,3,99.00,29,
,240802832DCWVD,S27-APDCSE-SBR3,Airpod Case - Side Lock Style - Black - Regular 3rd Gen,1,159.00,32,
,24080283QKEKTK,S27-APDCSE-SWP2,Airpod Case - Side Lock Style - White - Pro 2nd Gen,1,159.00,33,
,2408028E90VYU9,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),5,109.00,34,
,2408028GHDDFUS,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,189.00,35,
,2408028HQD9AGP,S31-FELTBG-LBLK,Felt Insert Bag with Multi Pockets - Black Large (28*25*17cm),1,145.00,31,
,2408028K5W2MYT,S28-GRWBG2-LB03,Gardening Grow Bag Design 2 - Light Brown - 3 Gallon (25*22cm),10,45.00,34,
,2408028MEXA16K,S20-SLCAPD-P1SW,Silicone Case Bluetooth Earphones - Pro 1st Gen - Switch,1,69.00,33,
,2408028PM2SMT5,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,239.00,34,
,2408028QXGTAJN,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,189.00,35,
,2408028T96QVBJ,S22-BDSWBP-REDD,Bird Shaped Self Watering Bulb for Plants - Red,10,99.00,31,
