,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,2405015NN34FXJ,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,199.00,31,
,2405015NWH2NHV,S22-LMSWST-NAVY,Plain Leather Magsafe Snap On Wallet with Stand - Navy,1,149.00,30,
,2405015PXC0PY3,S28-SLCAPD-NCR3,Silicone Case Bluetooth Earphones - 3rd Gen - Famicom,1,79.00,30,
,2405015QW71NMN,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,30,
,2405015RVM6G48,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,199.00,31,
,2405015UDT2X8K,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,1,99.00,30,
,24050160WA96H0,S27-MNYCLP-BDLR,Money Clip Steel - Black Dollar Sign,1,88.00,28,
,24050169TKR3YD,S10-LDHAMP-SCAT,Laundry Hamper - Small Cats,1,99.00,32,
,2405016A2VWXPB,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,31,
,2405016HUAR81N,S27-APDCSE-SWR3,Airpod Case - Side Lock Style - White - Regular 3rd Gen,1,159.00,31,
,2405016KA4YASK,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,2405016NSDRBHM,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,28,
,2405016PNVE3YT,S28-GRWBG2-GN10,Gardening Grow Bag Design 2 - Green - 10 Gallon (40*30cm),3,85.00,31,
,2405016TVRS7DN,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),1,109.00,33,
,2405016UBJS2HX,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),2,79.00,31,
,2405016WQY1G8R,S31-LMSWST-RD95,Plain Leather Magsafe Snap On Wallet with Stand - Red 9.5,1,189.00,31,
,2405016YCN44C5,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,31,
,24050174355GWS,S13-FNAILC-0000,Flat Nailcutter Keychain,2,79.00,28,
,240501784H35QE,S28-GRWBG2-BK03,Gardening Grow Bag Design 2 - Black - 3 Gallon (25*22cm),2,39.00,32,
,2405017A83YPDX,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,30,
,2405017AFMCEUW,S14-PCTOIL-BLCK,Pouch Toiletry Organizer - Black,1,139.00,27,
,2405017CHE37SK,S15-LDHAMP-MPNT,Laundry Hamper - Medium Pine Tree,2,169.00,28,
,2405017E50WA0U,S22-LMSWST-YLLW,Plain Leather Magsafe Snap On Wallet with Stand - Yellow,1,149.00,30,
,2405017EEBC91N,S19-FELTFO-MBEG,Felt Foldable Organizer - Medium Beige,2,85.00,31,
,2405017JD83YQM,S24-LDPOD4-NEUT,Travel Liquid Dispenser Pods (Set of 4) - Neutral,1,159.00,28,
,2405017JUC5Q82,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,1,99.00,30,
,2405017JUC5Q82,S11-FABORG-GNWA,Fabric Foldable Rectangle Organizer - Green White Chevron,1,25.00,19,
,2405017MV8AQ4G,S25-LDHAMP-LVDN,Laundry Hamper - Large Dark Blue Varying Dinosaurs,1,195.00,31,
,2405017S00FBD9,S32-TRSQOG-BEIG,TRAVEL Light Weight Square Toiletry Organizer - Beige,1,199.00,32,
,2405017S00FBD9,S30-SETLUG-BEG7,Set Travel Luggage Organizer - Set of 7 - Beige,1,249.00,31,
,2405017TG3QXTG,S08-LDHAMP-LOWL,Laundry Hamper - Large Owl,1,199.00,30,
,2405017TG3QXTG,S06-LDHAMP-LELE,Laundry Hamper - Large Elephant,1,199.00,30,
,2405017TN4VV4D,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,
,2405017UARAG1E,S02-TOILOR-WINE,Travel Toiletry Organizer - Wine,1,199.00,27,
,2405017UARAG1E,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,24050181H9QCMB,S13-FNAILC-0000,Flat Nailcutter Keychain,2,79.00,28,
,240502853K0SVD,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,30,
,2405028ANP5000,S08-LDHAMP-LOWL,Laundry Hamper - Large Owl,1,199.00,30,
,2405028C1TKHFF,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,
,2405028C6RV5UK,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,28,
,2405028E77NTH4,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),5,79.00,31,
,2405028NVAQ439,S22-CEJTWT-BLCK,Card Ejector with Leather Wallet - Black,1,199.00,28,
