,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,240201C3WPXEY9,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,225.00,18,
,240201C53EAM53,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,225.00,23,
,240201C6WJX36W,S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,1,179.00,13,
,240201CBNMKH2B,S22-LMSWST-REDD,Plain Leather Magsafe Snap On Wallet with Stand - Red,1,149.00,28,
,240201CMQRJCAP,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,28,
,240201CMQRJCAP,S13-MNYCLP-GOLD,Money Clip Steel - Gold,1,42.00,28,
,240201D078BRCM,S04-WBKEND-0RND,Wooden Bookend - No Print Round Corner,1,99.00,21,
,240201D4URH961,S22-LMSWST-PURP,Plain Leather Magsafe Snap On Wallet with Stand - Purple,1,149.00,28,
,240201D646NCFQ,S24-GROWBG-LB02,Gardening Grow Bag - Light Brown - 2 Gallon (20*20cm),5,59.00,27,
,240201D646NCFQ,S24-GROWBG-LB05,Gardening Grow Bag - Light Brown - 5 Gallon (30*25cm),6,75.00,27,
,240201D646NCFQ,S22-GROWBG-GY05,Gardening Grow Bag - Gray - 5 Gallon (30*25cm),5,69.00,27,
,240201D646NCFQ,S22-GROWBG-GY03,Gardening Grow Bag - Gray - 3 Gallon (25*22cm),5,65.00,"26, 27",
,240201D7B44ECQ,S04-WBKEND-0RND,Wooden Bookend - No Print Round Corner,2,99.00,21,
,240201D8SAAAU5,S28-LDHAMP-LBWT,Laundry Hamper - Large Blue White Triangles,1,199.00,28,
,240201DFDMBB7M,S15-WBKEND-WSQ0,Wooden Bookend - Dark Walnut Small Square No Logo,1,179.00,27,
,240201DJAB7E6D,S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,1,199.00,28,
,240201DMGQTK7V,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240201DNNP9Y7D,S19-LMFPSS-BLCK,PU Leather Multi-function Passport Holder - Black,1,119.00,27,
,240201DNYD8EFM,S13-MNYCLP-SLVR,Money Clip Steel - Silver,2,39.00,28,
,240201DQ88R1KF,S20-SLCAPD-R3CW,Silicone Case Bluetooth Earphones - 3rd Gen - Carbon Fiber Texture - White,1,119.00,28,
,240201DT2FFU6T,S02-TOILOR-PURP,Travel Toiletry Organizer - Purple,1,199.00,23,
,240201DW09MD1V,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240201DW78S7CM,S22-LMSWST-PURP,Plain Leather Magsafe Snap On Wallet with Stand - Purple,1,149.00,28,
,240201E1BYJ2SF,S22-LMSWST-BRWN,Plain Leather Magsafe Snap On Wallet with Stand - Brown,1,149.00,28,
,240201E1UUURRN,S04-WBKEND-0RND,Wooden Bookend - No Print Round Corner,1,99.00,21,
,240201E47YJD93,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,28,
,240201E6E97EWF,S22-LMSWST-PURP,Plain Leather Magsafe Snap On Wallet with Stand - Purple,1,149.00,28,
,240201E6VQS66U,S11-DIACO1-RGRY,Diatomite Coaster Design 1 - Hard - Round Gray,1,40.00,22,
,240201E6VQS66U,S18-DIACO1-RDGY,Diatomite Coaster Design 1 - Hard - Round Dark Gray,3,45.00,28,
,240201E828D834,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,23,
,240201E82C8957,S16-SLCODR-PINK,Silicone Coaster Design Drain - Pink,6,42.00,"19, 20",
,240201E8BH21E7,S11-SQTOIL-BLCK,Square Toiletry Organizer - Black,1,199.00,26,
,240201EAPMAW87,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,28,
,240201EAPMAW87,S13-MNYCLP-GOLD,Money Clip Steel - Gold,1,42.00,28,
,240201EBWNMYSB,S20-SLCAPD-P1XB,Silicone Case Bluetooth Earphones - Pro 1st Gen - Xbox Controller,1,69.00,27,
,240201EBYPFD9A,S14-MGSWLT-BLCK,Magsafe Wallet - Black,1,139.00,30,
