,ARIMA+SMA (Classical),Gradient Boosting (ML),DeepAR (Proposed)
MAE,10.0729,1.4276,9.6275
RMSE,25.2038,3.8035,23.9479
R²,0.0893,0.9793,0.1778
MAPE_%,118.4905,19.5281,87.0324
