Category,N,ARIMA_MAE,GB_MAE,DeepAR_MAE,ARIMA_R²,GB_R²,DeepAR_R²
Beauty & Fashion,36,3.0111,0.4083,2.6389,-2.3695,0.895,-0.9105
Home & Living,192,28.9964,3.2797,23.0938,-0.1526,0.9773,0.0822
Organizers,441,4.9286,1.1458,5.3084,-0.0498,0.9197,-0.1972
Stationery,2,7.75,1.7,12.5,-0.7635,0.9061,-4.1806
Toys,19,1.0105,0.1316,0.8947,-0.3517,0.9617,-0.2761
Travel,79,2.5241,0.4101,3.1899,-0.6539,0.8746,-1.2684
Wallets & Cases,184,8.2402,0.9375,10.9293,0.4253,0.9898,-0.0111
