,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,250301DHXKDPY3,S20-8TBOTS-BLUE,8-in-1 Travel Bottle Set - Stupid Little Elephant - Blue,1,99.00,27,
,250301DKVNXGAF,S21-LDHAMP-LACF,Laundry Hamper - Large Aircraft,1,199.00,32,
,250301DMPX5RR0,S26-RETVNC-SET2,Retro Vinyl Coaster - Set of 2,1,79.00,31,
,250301DMPX5RR0,S11-DIACO1-RWHT,Diatomite Coaster Design 1 - Hard - Round White,1,45.00,36,
,250301E1EV1EFF,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,33,
,250301E1EV1EFF,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,37,
,250301E1EV1EFF,S08-LDHAMP-LOWL,Laundry Hamper - Large Owl,1,199.00,31,
,250301E1EV1EFF,S06-LDHAMP-LLCW,Laundry Hamper - Large Lion Crown,1,199.00,39,
,250301E1EV1EFF,S06-LDHAMP-LELE,Laundry Hamper - Large Elephant,1,199.00,35,
,250301EF53SRHV,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,2,199.00,32,
,250301EJ2BVTUU,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,40,
,250301ER94UF55,S06-LDHAMP-LBDN,Laundry Hamper - Large Blue Dinosaur,1,199.00,31,
,250301EU8PBK56,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,41,
,250301EXJMN8JP,S26-RFIDMC-HCBK,RFID Card Wallet with Money Clip - Honeycomb Black,1,299.00,40,
,250301EYR2E4HW,S13-MNYCLP-SLVR,Money Clip Steel - Silver,2,39.00,31,
,250301F10XWEDE,S31-FELTBG-SBLK,Felt Insert Bag with Multi Pockets - Black Small (21*17*13cm),1,118.00,38,
,250301F8JDJBNV,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,40,
,250301F9D43S4A,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,31,
,250301FB361171,S31-LMSWST-NV95,Plain Leather Magsafe Snap On Wallet with Stand - Navy 9.5,1,195.00,40,
,250301FBSQ1RTV,S21-LDHAMP-LACF,Laundry Hamper - Large Aircraft,1,199.00,32,
,250301FN03CYFF,S15-WBKEND-WSR0,Wooden Bookend - Dark Walnut Small Round No Logo,2,155.00,33,
,250301FPK61R5R,S31-LMSWST-BN95,Plain Leather Magsafe Snap On Wallet with Stand - Brown 9.5,1,195.00,40,
,250302GF0T1EGS,S11-SQTOIL-GRAY,Square Toiletry Organizer - Gray,1,199.00,28,
,250302GF0T1EGS,S11-SQTOIL-PURP,Square Toiletry Organizer - Purple,1,199.00,29,
,250302GRN2TKBT,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,33,
,250302GRN2TKBT,S22-LDHAMP-MGCB,Laundry Hamper - Medium Green Cloud Bear,1,155.00,31,
,250302GRV4UWTW,S06-LDHAMP-LPEN,Laundry Hamper - Large Penguin,1,199.00,35,
,250302GRV4UWTW,S11-FABORG-WWHA,Fabric Foldable Rectangle Organizer - White Whales,1,25.00,19,
,250302GRV4UWTW,S25-FABORG-PKCK,Fabric Foldable Rectangle Organizer - Pink Checkered,1,25.00,31,
,250302GRV4UWTW,S19-LDHAMP-LDFR,Laundry Hamper - Large Drawstring Forest,1,219.00,24,
,250302GV1SV22W,S28-GRWBG2-BK05,Gardening Grow Bag Design 2 - Black - 5 Gallon (30*25cm),4,49.00,40,
,250302GV1SV22W,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),4,79.00,39,
,250302GYQGV8XA,S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,3,14.85,35,
,250302GYQGV8XA,S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow ,3,14.85,35,
,250302GYQGV8XA,S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,3,14.85,35,
,250302GYQGV8XA,S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,3,14.85,35,
,250302H63A1SBX,S26-RFIDMC-PLSR,RFID Card Wallet with Money Clip - Plain Silver,1,239.00,38,
,250302H8AK8S1W,S29-SMTPCH-REDD,Small Multi-purpose Pouch - Red,1,199.00,29,
,250302HACJQR1U,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,41,
,250302HAH5J5M3,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),4,109.00,39,
,250302HB3RPXSJ,S26-RFIDMC-PLGY,RFID Card Wallet with Money Clip - Plain Gray,1,239.00,34,
,250302HBYMAG5J,S16-DIACO1-SLBL,Diatomite Coaster Design 1 - Hard - Square Light Blue,2,20.00,29,
,250302HBYMAG5J,S16-DIACO1-SPNK,Diatomite Coaster Design 1 - Hard - Square Pink,2,20.00,27,
