,,,,,,,
,Order ID,Date Order Made,Buyer,Shipping Method Used,Comments,Status,Revenue Released
,250430M4H10BYJ,"May 1, 2025",leataway,Shopee Xpress,,RESOLVED,105.54
,250501N7NYD73T,"May 1, 2025",jeddahlinne,Shopee Xpress,,RESOLVED,135.41
,250501N8TFKDVQ,"May 1, 2025",circle87,Shopee Xpress,,RESOLVED,243.88
,250501NDQR5335,"May 1, 2025",kayevaldez12,Shopee Xpress,,RESOLVED,24.89
,250501NRRFVTXH,"May 1, 2025",vermalynrojasliwanag,Shopee Xpress,,RESOLVED,723.82
,250501NXU2C57E,"May 1, 2025",wisemomshops,Shopee Xpress,,RESOLVED,135.41
,250501P1Y3VCYP,"May 1, 2025",kimctan,J&T Express,,RESOLVED,142.37
,250501P3C5SJKB,"May 1, 2025",andrea_mirando,Shopee Xpress,,RESOLVED,168.26
,250501P5NDXTQU,"May 1, 2025",benedictlacson,Shopee Xpress,,RESOLVED,169.26
,250501P7RBY1YV,"May 1, 2025",shaaaasaaaaaa18,Shopee Xpress,,RESOLVED,140.38
,250501P894SJ4U,"May 1, 2025",jocelyncustodio,Shopee Xpress,,RESOLVED,84.63
,250501P9ST7PQT,"May 1, 2025",einelnna,Shopee Xpress,,RESOLVED,169.25
,250501PANRPKTH,"May 1, 2025",juancarlosserapionong,Shopee Xpress,,RESOLVED,255.88
,250501PFFX4624,"May 1, 2025",diwatapaps,J&T Express,,RESOLVED,"1,265.45"
,250501PPFFJCEG,"May 1, 2025",markballinas,Shopee Xpress,,RESOLVED,137.40
,250501PTK14CRD,"May 1, 2025",alexdocejo,Shopee Xpress,,RESOLVED,389.29
,250501Q13QR1SE,"May 1, 2025",jiannanananana,Shopee Xpress,,RESOLVED,130.40
,250501QD38G4VB,"May 2, 2025",rextabeta,Shopee Xpress,,CANCELLED,
,250501QEFKKK5U,"May 1, 2025",marygracevillamor529,J&T Express,,CANCELLED,
,250501QKAPH1N2,"May 1, 2025",alanloja15,Shopee Xpress,,RESOLVED,393.27
,250502QREE06BE,"May 2, 2025",ius080,Shopee Xpress,,RESOLVED,173.24
,250502QXMH30KS,"May 2, 2025",steventms,Shopee Xpress,,RESOLVED,255.88
,250502R0K0WGPE,"May 2, 2025",anythinhphonlineshop,J&T Express,,RESOLVED,130.40
,250502R0RYNWG8,"May 2, 2025",riri.11,Shopee Xpress,,RESOLVED,214.06
,250502RDF4AJYC,"May 2, 2025",rona_ibarreta,Shopee Xpress,,RESOLVED,59.74
,250502RFYR2XK3,"May 2, 2025",owiedizon0723,Shopee Xpress,,RESOLVED,160.25
,250502RJXT8RH5,"May 2, 2025",alia12o,Shopee Xpress,,RESOLVED,59.74
,250502RQH3TSD4,"May 2, 2025",miljoanne,Shopee Xpress,,RESOLVED,120.47
,250502RR8HCSP1,"May 2, 2025",stylishtrish,J&T Express,,RESOLVED,135.41
,250502S0J2N7FY,"May 2, 2025",jeanclarisse9,Shopee Xpress,,RESOLVED,47.79
,250502S0RPCEM6,"May 2, 2025",ralphjared,Shopee Xpress,,RESOLVED,98.57
,250502S5JQXCJ6,"May 2, 2025",mjgrcs,Shopee Xpress,,RESOLVED,135.41
,250502S9V2FARY,"May 2, 2025",janineerikabilledobelisa,Shopee Xpress,,RESOLVED,172.24
,250502SBEG25ND,"May 2, 2025",p_g_k0g_2m,Shopee Xpress,,RESOLVED,48.79
,250502SJJHKAYK,"May 2, 2025",jocelyncustodio,Shopee Xpress,,RESOLVED,132.42
,250502SNKY3TCM,"May 2, 2025",maevilynsanchez,Shopee Xpress,,RESOLVED,84.63
,250502SQTWV293,"May 2, 2025",sbtwiy9359,Shopee Xpress,,RESOLVED,170.25
,250502SR1AVAH0,"May 2, 2025",rowwwsssyyyshoppe,Shopee Xpress,,RESOLVED,249.90
,250502SU296CAH,"May 2, 2025",ijpamintuan,Shopee Xpress,,RESOLVED,172.24
,250502SVDMTPAN,"May 2, 2025",kris8888iiii,Shopee Xpress,,RESOLVED,125.45
,250502T2YBSWGJ,"May 2, 2025",isabellechekim,J&T Express,,RESOLVED,712.87
,250503T8CFMXBY,"May 3, 2025",jamesryanpanaligan713,J&T Express,,RESOLVED,126.44
,250503T8Q36UGT,"May 3, 2025",katherinefayenavarro,Shopee Xpress,,RESOLVED,170.25
,250503TDV9DG5E,"May 3, 2025",lorrainearquizagaitera,J&T Express,,RESOLVED,134.38
,250503THHM0R4A,"May 3, 2025",chingpardo27,Shopee Xpress,,RESOLVED,169.25
,250503TPFU3T4G,"May 3, 2025",iamnotkhurt_,Shopee Xpress,,RESOLVED,255.88
,250503TPNECG3U,"May 3, 2025",carrotpineapple,Shopee Xpress,,RESOLVED,463.96
,250503TUWMX1F9,"May 3, 2025",clumpy249,Shopee Xpress,,RESOLVED,164.24
,250503U0HTKWMV,"May 3, 2025",ralphandrewpineda,Shopee Xpress,,RESOLVED,173.24
,250503U20VFKHK,"May 3, 2025",genesispatrickliporada,Shopee Xpress,,RESOLVED,198.11
,250503U25RUW6D,"May 3, 2025",mattventius,Shopee Xpress,,RESOLVED,205.10
,250503U6AEMJTQ,"May 3, 2025",russ.30,Shopee Xpress,,RESOLVED,170.25
,250503U9C4R4N4,"May 3, 2025",ninagamilla,Shopee Xpress,,RESOLVED,169.26
,250503UAVKCXKD,"May 3, 2025",easystreet,Shopee Xpress,,RESOLVED,69.69
,250503UBUK8YY9,"May 3, 2025",ciarabacalso,Shopee Xpress,,RESOLVED,227.00
,250503UDAFBSW3,"May 3, 2025",ew_c1m6syf,Shopee Xpress,,RESOLVED,169.25
,250503UDSC87AD,"May 3, 2025",kayevaldez12,Shopee Xpress,,RESOLVED,547.59
,250503UGJ57BFC,"May 3, 2025",solanah_uh,Shopee Xpress,,RESOLVED,170.25
,250503UQUR51VX,"May 3, 2025",mikeculator,Shopee Xpress,,RESOLVED,205.10
,250503URC7E9VM,"May 3, 2025",pj_eslabra,Shopee Xpress,,RESOLVED,289.73
,250503USMTDFEY,"May 3, 2025",katsumoto_ona,Shopee Xpress,,RESOLVED,239.94
,250503USWD2YAJ,"May 3, 2025",sedritoosorio,Shopee Xpress,,RESOLVED,204.10
,250503UTMTKJKU,"May 3, 2025",rexelcallueng,Shopee Xpress,,RESOLVED,59.74
,250503UTY7FQ3D,"May 3, 2025",nmayo,Shopee Xpress,,RESOLVED,58.74
,250503UW5PVFDA,"May 3, 2025",alexnicole0920,Shopee Xpress,,RESOLVED,42.81
,250503UWJSJHM0,"May 3, 2025",drejscet,Shopee Xpress,,RESOLVED,85.62
,250503UYNMP3QG,"May 3, 2025",jeninarecare,J&T Express,,RESOLVED,170.25
,250503V9HV2QJE,"May 3, 2025",yslwns,Shopee Xpress,,RESOLVED,270.81
,250503VD91VGQV,"May 3, 2025",iravilla21,Shopee Xpress,,RESOLVED,205.10
,250503VDE4W5PS,"May 3, 2025",johnlawrencepalapargaw266,Shopee Xpress,,RESOLVED,67.70
,250503VK6EF2AN,"May 3, 2025",byronramos123,J&T Express,,RESOLVED,405.22
,250503VPGQ7TYQ,"May 3, 2025",xf62sjddbo,Shopee Xpress,,RESOLVED,66.71
,250504VQVWJ58Q,"May 4, 2025",jaredjk,Shopee Xpress,,RESOLVED,124.42
,250504W02E03GF,"May 4, 2025",mikokski,Shopee Xpress,,RESOLVED,204.10
,25050408TPTR4X,"May 4, 2025",sammiegirlel,Shopee Xpress,,RESOLVED,169.26
,2505040AT633EH,"May 4, 2025",niftyguy,Shopee Xpress,,RESOLVED,581.45
,2505040D1UNWE8,"May 4, 2025",camillebello,Shopee Xpress,,RESOLVED,135.41
,2505040DH3XB79,"May 4, 2025",suigeneris714,Shopee Xpress,,RESOLVED,164.24
,2505040EAU11E3,"May 4, 2025",lessshope,Shopee Xpress,,RESOLVED,-123.00
,2505040FP1TC4B,"May 4, 2025",irishdacua,Shopee Xpress,,RESOLVED,125.45
,2505040N7FYHTK,"May 4, 2025",nzkgonzales11,J&T Express,,RESOLVED,42.81
,2505040PP98117,"May 4, 2025",jokoy888,Shopee Xpress,,RESOLVED,234.97
,2505040YTB9XHS,"May 4, 2025",rappiloton,J&T Express,,RESOLVED,173.24
