 , ,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,250601BU97QG0W,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,149.00,35,
,250601CSTME35M,S26-RFIDMC-PLGY,RFID Card Wallet with Money Clip - Plain Gray,1,239.00,34,
,250601CUFCCT9X,S30-GRWBG2-BK07,Gardening Grow Bag Design 2 - Black - 7 Gallon (35*30cm),6,59.00,42,
,250601DEY20HW1,S16-DIACO1-SLGN,Diatomite Coaster Design 1 - Hard - Square Light Green,1,29.00,39,
,250601DEY20HW1,S16-DIACO1-SPNK,Diatomite Coaster Design 1 - Hard - Square Pink,2,29.00,29,
,250601DEY20HW1,S16-DIACO1-SLGN,Diatomite Coaster Design 1 - Hard - Square Light Green,2,17.50,39,
,250601DF4S3UVB,S31-COLTWL-GRAY,Microfiber Cooling Towel (30*80cm)  - Gray,2,25.00,43,
,250601DF4S3UVB,S31-COLTWL-PINK,Microfiber Cooling Towel (30*80cm)  - Pink,2,25.00,43,
,250601DF4S3UVB,S31-COLTWL-ORNG,Microfiber Cooling Towel (30*80cm)  - Orange,2,25.00,43,
,250601DF4S3UVB,S31-COLTWL-VLET,Microfiber Cooling Towel (30*80cm)  - Violet,1,25.00,43,
,250601DF4S3UVB,S31-COLTWL-FUSA,Microfiber Cooling Towel (30*80cm)  - Fuschia,1,25.00,43,
,250601DK6DJUYD,S31-COLTWL-GRAY,Microfiber Cooling Towel (30*80cm)  - Gray,1,25.00,43,
,250601DK6DJUYD,S31-COLTWL-REDD,Microfiber Cooling Towel (30*80cm)  - Red,2,25.00,43,
,250601DK6DJUYD,S31-COLTWL-BLUE,Microfiber Cooling Towel (30*80cm)  - Blue,1,25.00,43,
,250601DK6DJUYD,S31-COLTWL-GREN,Microfiber Cooling Towel (30*80cm)  - Green,2,25.00,42,
,250601DK6DJUYD,S31-COLTWL-ORNG,Microfiber Cooling Towel (30*80cm)  - Orange,1,25.00,43,
,250601DS3ND4YK,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,33,
,250601DSB8JNTN,S28-GRWBG2-GY20,Gardening Grow Bag Design 2 - Gray - 20 Gallon (50*40cm),2,119.00,41,
,250601DSB8JNTN,S31-GRWBG2-GY07,Gardening Grow Bag Design 2 - Gray - 7 Gallon (35*30cm),4,79.00,38,
,250601DWK77ARP,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,43,
,250601E0XJDJXK,S20-SLCAPD-P1SW,Silicone Case Bluetooth Earphones - Pro 1st Gen - Switch,1,69.00,43,
,250601E0XJDJXK,S28-SLCAPD-PBP2,Silicone Case Bluetooth Earphones - Pro 2nd Gen - Pokeball,1,69.00,36,
,250602EC6Y4UAK,S19-LDHAMP-MEXC,Laundry Hamper - Medium Excavator,1,159.00,35,
,250602EUJVHQGH,S32-MKYHDR-GREN,Metal Key Holder - Green,1,69.00,37,
,250602EUJVHQGH,S26-MKYHDR-BLCK,Metal Key Holder - Black,1,69.00,35,
,250602F4A1KU1N,S31-FELTBG-MBEG,Felt Insert Bag with Multi Pockets - Beige Medium (26*20*13cm),1,140.00,42,
,250602F9YCN4U7,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,239.00,42,
,250602FCGJG5HR,S11-LDHAMP-MNCT,Laundry Hamper - Medium Navy Cats,1,159.00,33,
,250602FF1GPW01,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,43,
,250602FJ7D90V6,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),4,109.00,43,
,250602FJ89UGC5,S28-GRWBG2-GY10,Gardening Grow Bag Design 2 - Gray - 10 Gallon (40*30cm),4,89.00,35,
