 ,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,2502011WMTMHTG,S28-GRWBG2-GN05,Gardening Grow Bag Design 2 - Green - 5 Gallon (30*25cm),6,55.00,"35, 38",
,2502012053SU64,S31-LMSWST-YW95,Plain Leather Magsafe Snap On Wallet with Stand - Yellow 9.5,1,195.00,39,
,25020123TFC4AG,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,25020125J4UGAM,S31-LMSWST-GR95,Plain Leather Magsafe Snap On Wallet with Stand - Green 9.5,1,195.00,39,
,2502012667MQ5P,S28-GRWBG2-BK01,Gardening Grow Bag Design 2 - Black - 1 Gallon (18*15cm) no handle,1,25.00,34,
,2502012667MQ5P,S19-FELTFO-LBLK,Felt Foldable Organizer - Large Black,1,149.00,38,
,25020127KPWBDJ,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,25020129V84QPV,S31-FELTBG-MPNK,Felt Insert Bag with Multi Pockets - Pink Medium (26*20*13cm),1,140.00,38,
,2502012CK712H9,S31-FELTBG-SBEG,Felt Insert Bag with Multi Pockets - Beige Small (21*17*13cm),1,118.00,40,
,2502012FR17QJ2,S19-WBKEND-WLQ0,Wooden Bookend - Dark Walnut Large Square No Logo,1,279.00,31,
,2502012N9EES6W,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),4,109.00,39,
,2502012NJXRJK8,S26-MKYHDR-BLCK,Metal Key Holder - Black,1,69.00,35,
,2502012RUNVDJE,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,2502012TG0KWY5,S31-LMSWST-NV95,Plain Leather Magsafe Snap On Wallet with Stand - Navy 9.5,1,195.00,39,
,2502012U9G0GH8,S19-FELTFO-LBLK,Felt Foldable Organizer - Large Black,1,149.00,39,
,2502012X8RTMAF,S20-SLCAPD-R3CW,Silicone Case Bluetooth Earphones - 3rd Gen - Carbon Fiber Texture - White,1,119.00,38,
,2502012X9FQSFD,S20-SLCAPD-R3CB,Silicone Case Bluetooth Earphones - 3rd Gen - Carbon Fiber Texture - Black,1,119.00,31,
,25020132T1205D,S28-GRWBG2-LB20,Gardening Grow Bag Design 2 - Light Brown - 20 Gallon (50*40cm),4,119.00,38,
,250201342D9DK2,S20-SLCAPD-R3CB,Silicone Case Bluetooth Earphones - 3rd Gen - Carbon Fiber Texture - Black,1,119.00,31,
,25020135SW21QM,S28-SLCAPD-NCP2,Silicone Case Bluetooth Earphones - Pro 2nd Gen - Famicom,1,79.00,33,
,25020136WCU9F7,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,25020137KEHNXX,S25-LDHAMP-LVDN,Laundry Hamper - Large Dark Blue Varying Dinosaurs,1,195.00,33,
,25020137KEHNXX,S15-LDHAMP-MGFS,Laundry Hamper - Medium Green Fish,1,155.00,37,
,25020137M2JPHM,S31-FELTBG-SBLK,Felt Insert Bag with Multi Pockets - Black Small (21*17*13cm),3,118.00,38,
,25020137M2JPHM,S31-FELTBG-MBLK,Felt Insert Bag with Multi Pockets - Black Medium (26*20*13cm),3,140.00,"38, 40",
,25020137M2JPHM,S31-FELTBG-LBLK,Felt Insert Bag with Multi Pockets - Black Large (28*25*17cm),2,180.00,37,
,25020137M2JPHM,S31-FELTBG-SBEG,Felt Insert Bag with Multi Pockets - Beige Small (21*17*13cm),1,118.00,40,
,25020137M2JPHM,S31-FELTBG-MBEG,Felt Insert Bag with Multi Pockets - Beige Medium (26*20*13cm),1,140.00,40,
,25020137M2JPHM,S31-FELTBG-LBEG,Felt Insert Bag with Multi Pockets - Beige Large (28*25*17cm),1,189.00,38,
,25020138N832WA,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,250201399CS82V,S31-LMSWST-RD95,Plain Leather Magsafe Snap On Wallet with Stand - Red 9.5,1,195.00,37,
,2502013HK2Q91A,S28-GRWBG2-GN20,Gardening Grow Bag Design 2 - Green - 20 Gallon (50*40cm),2,119.00,39,
,2502013M6E69WV,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,2502013M6E69WV,S31-LMSWST-GR95,Plain Leather Magsafe Snap On Wallet with Stand - Green 9.5,1,195.00,39,
,2502023P4JHMQF,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,37,
,2502023P4JHMQF,S20-PHWGHA-BLCK,Portable Hanging Digital Weighing Scale - Black,1,168.00,28,
,2502023P4JHMQF,S30-SETLUG-GRY6,Set Travel Luggage Organizer - Set of 6 - Gray,1,165.00,31,
,2502023PGSM3WX,S28-GRWBG2-BK20,Gardening Grow Bag Design 2 - Black - 20 Gallon (50*40cm),5,109.00,39,
,2502023QGP11NS,S11-LDHAMP-MNCT,Laundry Hamper - Medium Navy Cats,1,159.00,33,
,2502023QTHMTNN,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,30,
,2502023SVADJHX,S22-MNYCLP-SDLR,Money Clip Steel - Silver Dollar Sign,1,65.00,29,
,2502023W50Q1XD,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,2502024C66Q460,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,1,99.00,37,
,2502024C66Q460,S15-LDHAMP-MGFS,Laundry Hamper - Medium Green Fish,1,155.00,37,
,2502024EVU3AT0,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,2502024FJEGBSR,S28-GRWBG2-GN03,Gardening Grow Bag Design 2 - Green - 3 Gallon (25*22cm),4,45.00,35,
,2502024S7XDCYX,S14-PCTOIL-REDD,Pouch Toiletry Organizer - Red,1,139.00,37,
,2502024U6D95XV,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,239.00,34,
,2502024V56CVGX,S30-LMSWST-BK95,Plain Leather Magsafe Snap On Wallet with Stand - Black 9.5,1,199.00,39,
,2502024VEE360K,S21-LDHAMP-LEXC,Laundry Hamper - Large Excavator,1,199.00,30,
,2502024XGAKDH5,S25-LDHAMP-LVDN,Laundry Hamper - Large Dark Blue Varying Dinosaurs,1,195.00,38,
,2502024XGAKDH5,S11-FABORG-BWCH,Fabric Foldable Rectangle Organizer - Black White Checkered,2,25.00,37,
,2502024Y8WE9WG,S29-SMTPCH-GRAY,Small Multi-purpose Pouch - Gray,2,209.00,29,
