,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,230801F2YS88K0,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,19,
,230801F2YS88K0,S15-LDHAMP-MPFH,Laundry Hamper - Medium Pink Fox Hello,1,159.00,20,
,230801F4KD2653,S22-LDHAMP-MGCB,Laundry Hamper - Medium Green Cloud Bear,1,159.00,22,
,230801F5CD59PC,S03-WREPRP-PGLT,Wire Protector - Piglet,1,20.00,16,
,230801F5EEY57T,S02-VACBTR-TR57,Vacuum Bags Transparent - 50x70cm,2,33.80,20,
,230801F5EEY57T,S02-VACBTR-TR68,Vacuum Bags Transparent - 60x80cm,2,42.47,18,
,230801F5EEY57T,S02-VACBTR-TR7H,Vacuum Bags Transparent - 70x100cm,2,59.80,18,
,230801F5EEY57T,S02-VACBTR-HPMP,Vacuum Bags Transparent - Hand Pump,2,33.80,20,
,230801F5EEY57T,S02-VACBHR-S350,Vacuum Bags Handroll - Sea 35x50cm,2,25.13,14,
,230801F6WHRY3E,S14-MGSWLT-BLCK,Magsafe Wallet - Black,1,139.00,20,
,230801FAEH6A46,S03-WREPRP-PGLT,Wire Protector - Piglet,1,20.00,16,
,230801FAEH6A46,S03-WREPRP-MINM,Wire Protector - Minnie Mouse,1,23.00,16,
,230801FGMBNS0P,S22-LDHAMP-MGCB,Laundry Hamper - Medium Green Cloud Bear,1,159.00,22,
,230801FKETYWBX,S03-WREPRP-RLKM,Wire Protector - Rilakuma,1,20.00,16,
,230801FKETYWBX,S03-WREPRP-MINM,Wire Protector - Minnie Mouse,1,23.00,16,
,230801FKETYWBX,S04-WREPRP-SPBB,Wire Protector - Spongebob,1,20.00,16,
,230801FKETYWBX,S08-WREPRP-CMON,Wire Protector - Cookie Monster,1,20.00,15,
,230801FKETYWBX,S07-WREPRP-SLOU,Wire Protector - Stella Lou,1,20.00,15,
,230801FTBWB6RE,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,2,199.00,22,
,230801FWJX7S3C,S03-WREPRP-MICM,Wire Protector - Mickey Mouse,4,15.00,18,
,230801FWJX7S3C,S03-WREPRP-MINM,Wire Protector - Minnie Mouse,2,15.00,16,
,230801FYDF6D4A,S22-LDHAMP-MGCB,Laundry Hamper - Medium Green Cloud Bear,1,159.00,22,
,230801FYDF6D4A,S15-LDHAMP-MPFH,Laundry Hamper - Medium Pink Fox Hello,1,159.00,20,
,230801FYDF6D4A,S02-VACBD1-PE8H,Vacuum Bags Design Set 1 - Pink Elephant 80x100cm,2,89.00,2,
,230801FYDF6D4A,S02-VACBD1-HPMP,Vacuum Bags Design Set 1 - Hand Pump,1,34.00,3,
,230801FYNCWB80,S14-PCTOIL-GRAY,Pouch Toiletry Organizer - Gray,1,139.00,20,
,230801G229DHEY,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,19,
,230801G229DHEY,S19-LDHAMP-LDFR,Laundry Hamper - Large Drawstring Forest,1,219.00,19,
,230801G59F0RJC,S03-WREPRP-COKE,Wire Protector - Coke,2,20.00,20,
,230801G9D84Y62,S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,1,189.00,20,
,230801G9D84Y62,S21-LDHAMP-LEXC,Laundry Hamper - Large Excavator,1,199.00,22,
,230801G9D84Y62,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,1,199.00,22,
,230801GER3K79W,S03-WREPRP-DNLD,Wire Protector - Donald,1,20.00,16,
,230801GER3K79W,S10-WREPRP-MICB,Wire Protector - Mickey Bottom,1,25.00,16,
,230801GFMSYCJ7,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,1,99.00,16,
,230801GH5H7MQ6,S11-LDHAMP-MNCT,Laundry Hamper - Medium Navy Cats,1,159.00,22,
,230801GH5H7MQ6,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,189.00,23,
,230801GH7XGB5W,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,22,
,230801GHU3MJX8,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,23,
,230801GK4WNP5R,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,22,
,230801GM5H0M6H,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,20,
,230801GM5H0M6H,S11-LDHAMP-MNCT,Laundry Hamper - Medium Navy Cats,1,159.00,22,
,230801GRCCDH4J,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,22,
,230801GRNVMK45,S03-WREPRP-TIGR,Wire Protector - Tiger,1,20.00,22,
,230801GRNVMK45,S10-WREPRP-MICB,Wire Protector - Mickey Bottom,1,25.00,16,
,230801GVQJYK76,S10-FOLDFL-LBLN,Foldable File Organizer - Large Black No OPP,1,79.00,18,
,230801GW58QK8U,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,189.00,23,
,230801GW5XP3BN,S14-PCTOIL-GRAY,Pouch Toiletry Organizer - Gray,1,139.00,20,
,230801GX2SSNUT,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,175.00,23,
,230801GYJXX1N8,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,189.00,21,
,230801H5R0NU9S,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,22,
,230801H5UXH33N,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,22,
,230801H5UXH33N,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,23,
,230801H73SJ7TM,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,22,
,230801H7CG222V,S22-MNYCLP-SDLR,Money Clip Steel - Silver Dollar Sign,1,65.00,22,
,230801H7CG222V,S13-MNYCLP-GOLD,Money Clip Steel - Gold,1,39.00,20,
,230801H9CBTT90,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,20,
,230801HA0VWFJM,S14-PCTOIL-GRAY,Pouch Toiletry Organizer - Gray,1,139.00,20,
,230801HAR0VYS1,S16-SLCODR-BLCK,Silicone Coaster Design Drain - Black,1,42.00,19,
,230801HAR0VYS1,S16-SLCODR-BLUE,Silicone Coaster Design Drain - Blue,1,42.00,20,
,230801HAR0VYS1,S16-SLCODR-PINK,Silicone Coaster Design Drain - Pink,1,42.00,18,
,230801HC846D0Y,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,19,
,230801HDMRSHAB,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,16,
,230801HDMRSHAB,S14-MGSWLT-YLLW,Magsafe Wallet - Yellow,1,139.00,20,
,230801HEAC4423,S08-LDHAMP-LHPB,Laundry Hamper - Large Hippo Balloon,1,199.00,16,
,230801HEAC4423,S19-LDHAMP-MSBL,Laundry Hamper - Medium Sports Balls,1,159.00,23,
,230801HH5P71H0,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,189.00,23,
,230801HH5P71H0,S02-TOILOR-WINE,Travel Toiletry Organizer - Wine,1,199.00,17,
,230801HHCDSRAX,S16-SLCODR-GRAY,Silicone Coaster Design Drain - Gray,6,42.00,20,
,230801HHHUAX1A,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,23,
,230802HKEC76JC,S05-RFIDWL-BLUE,RFID Card Wallet - Blue,1,55.00,18,
,230802HKEC76JC,S03-WREPRP-STBB,Wire Protector - Starbucks Brown,1,20.00,15,
,230802HP34EQ10,S10-FOLDFL-LWTN,Foldable File Organizer - Large White No OPP,1,84.00,17,
,230802HQ5XCMS1,S08-WREPRP-CPAL,Wire Protector - Captain America Logo,1,25.00,20,
,230802HQ5XCMS1,S03-WREPRP-COKE,Wire Protector - Coke,1,20.00,20,
,230802HQC0VVN6,S03-WREPRP-NOFC,Wire Protector - No Face,1,25.00,16,
,230802HQC0VVN6,S07-WREPRP-MIKW,Wire Protector - Mike Wazowski,2,20.00,16,
,230802HTNF053F,S04-WREPRP-MARU,Wire Protector - Badz Maru,1,20.00,18,
,230802HTNF053F,S03-WREPRP-RLKM,Wire Protector - Rilakuma,1,20.00,16,
,230802HTNF053F,S03-WREPRP-ELMO,Wire Protector - Elmo,1,20.00,15,
,230802J33YHC61,S13-MNYCLP-SLVR,Money Clip Steel - Silver,2,39.00,23,
,230802J33YHC61,S13-MNYCLP-GOLD,Money Clip Steel - Gold,2,39.00,22,
,230802J49XF8HE,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,19,
,230802J5WYNHCV,S10-WREPRP-POHB,Wire Protector - Pooh Bottom,1,25.00,16,
,230802JDMEFHCW,S04-WREPRP-MRIO,Wire Protector - Mario,1,20.00,15,
,230802JDMEFHCW,S09-WREPRP-PLTO,Wire Protector - Pluto,1,20.00,11,
,230802JDMEFHCW,S07-WREPRP-SLOU,Wire Protector - Stella Lou,1,20.00,15,
,230802JDMEFHCW,S07-WREPRP-SULY,Wire Protector - Sulley,1,20.00,15,
,230802JDMEFHCW,S11-WREPRP-SCHB,Wire Protector - Shin Chan Bottom,1,25.00,14,
,230802JFD0K082,S22-CEJTWT-BLCK,Card Ejector with Leather Wallet - Black,1,199.00,22,
,230802JJVH8QQJ,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,22,
,230802JK74S1HY,S03-HKCHAT-BLCK,Hat Hook - Black,1,219.00,23,
,230802JKX33Y6K,S03-WREPRP-CHIP,Wire Protector - Chip,2,20.00,16,
,230802JKX33Y6K,S08-WREPRP-CMON,Wire Protector - Cookie Monster,2,20.00,15,
,230802JKX33Y6K,S07-WREPRP-GBRM,Wire Protector - Gingerbread Man,2,20.00,11,
,230802JM3DSNS1,S08-LDHAMP-LFOX,Laundry Hamper - Large Fox,1,189.00,15,
,230802JNDHAPUT,S11-DIACO1-RPNK,Diatomite Coaster Design 1 - Hard - Round Pink,2,40.00,20,
