,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,231101DK8H9TJ2,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,199.00,21,
,231101DNUP2Q2A,S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,1,189.00,20,
,231101DP3VAA5Q,S11-DIACO1-RWHT,Diatomite Coaster Design 1 - Hard - Round White,1,45.00,26,
,231101DP3VAA5Q,S26-MTRSTD-BLCK,Metal Rotatable Cellphone/Tablet Stand - Black,1,119.00,26,
,231101DPN79URC,S22-LMSWST-BRWN,Plain Leather Magsafe Snap On Wallet with Stand - Brown,1,149.00,26,
,231101E3XFAWPQ,S20-SLCAPD-R3LK,Silicone Case Bluetooth Earphones - 3rd Gen - Cliplock Style - Black,1,129.00,26,
,231101E4CTX24N,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,25,
,231101EDSV2XFW,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,1,99.00,25,
,231101EET7RR4E,S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,1,189.00,20,
,231101EET7RR4E,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,189.00,26,
,231101EET7RR4E,S22-CEJTWT-BLCK,Card Ejector with Leather Wallet - Black,1,199.00,25,
,231101EET7RR4E,S11-FABORG-BWCH,Fabric Foldable Rectangle Organizer - Black White Checkered,1,25.00,19,
,231101EGJN1ASU,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,25,
,231101EJM0CYNX,S05-RFIDWL-GRAY,RFID Card Wallet - Gray,1,55.00,22,
,231101EMKKKKAF,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,26,
,231101EPY6531W,S06-LDHAMP-LBDN,Laundry Hamper - Large Blue Dinosaur,1,199.00,22,
,231101EQ144NBJ,S06-LDHAMP-LLCW,Laundry Hamper - Large Lion Crown,1,199.00,23,
,231101EQ144NBJ,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,1,199.00,26,
,231101EQ144NBJ,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,25,
,231101EQD3F632,S13-MNYCLP-GOLD,Money Clip Steel - Gold,1,42.00,26,
,231101EW8YE726,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,25,
,231101EWM19R4Y,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,25,
