,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,230201SM0E9T4U,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,221.00,17,
,230201SM0E9T4U,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,221.00,16,
,230201SM0E9T4U,S11-DPCTWL-BDYA,Disposable Compressed Towel - Body Brand A (mengzhiling),2,43.00,11,
,230201SM0E9T4U,S11-DPCTWL-BDYA,Disposable Compressed Towel - Body Brand A (mengzhiling),2,43.00,11,
,230201SM0E9T4U,S11-DPCTWL-BDYB,Disposable Compressed Towel - Body Brand B (langqi),1,39.00,11,
,230201SNEMFMFS,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,2,99.00,16,
,230201SYB3FWEY,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,16,
,230201T2SC50U5,S11-SQTOIL-BLCK,Square Toiletry Organizer - Black,1,199.00,16,
,230201TFAQ9EWD,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,225.00,17,
,230201TH8QTFVM,S11-SQTOIL-SBLU,Square Toiletry Organizer - Sky Blue,1,199.00,16,
,230201THDHDQJ4,S11-LDHAMP-MRSY,Laundry Hamper - Medium Red Strawberry,1,159.00,15,
,230201TPUX96QD,S10-LDHAMP-LRBT,Laundry Hamper - Large Rabbit,1,189.00,16,
,230201TPUX96QD,S08-LDHAMP-LHPB,Laundry Hamper - Large Hippo Balloon,1,199.00,14,
,230201TSVPW4RA,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,1,99.00,16,
,230201TXS8GCBM,S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,1,199.00,14,
,230201U4KGYPH5,S04-WBKEND-0SQR,Wooden Bookend - No Print Square Corner,1,99.00,15,
,230201U9KED03H,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,175.00,16,
,230201UH7KU6BM,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,179.00,15,
,230201UHETP6KH,S06-LDHAMP-LHPP,Laundry Hamper - Large Hippo,1,189.00,14,
,230201UUQPFFTT,S09-LPASSH-DBRN,PU Leather Passport Holder - Dark Brown,1,95.00,13,
,230201UVA7MFDY,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,16,
,230201UVQTENM4,S06-WBKEND-NRND,Wooden Bookend - Nature Round Corner,1,99.00,16,
,230201UX1W3J5K,S06-WBKEND-NRND,Wooden Bookend - Nature Round Corner,1,99.00,16,
,230201UY962AT7,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,189.00,15,
,230201V00CWU1Q,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,225.00,17,
,597833488578677,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,225.00,17,
,601605150342458,S13-FNAILC-0000,Flat Nailcutter Keychain,1,79.00,13,
,597949834142102,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,225.00,17,
,597967631049127,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,225.00,17,
,597995015021992,S03-FOLDFL-LAPR,Foldable File Organizer - Large Apricot,1,99.00,15,
,601667981587670,S04-WREPRP-EYOR,Wire Protector - Eeyore,1,25.00,12,
,601667981587670,S03-WREPRP-TIGR,Wire Protector - Tiger,1,25.00,11,
,601667981587670,S03-WREPRP-PEPS,Wire Protector - Pepsi,1,25.00,12,
,601667981587670,S08-WREPRP-SPRT,Wire Protector - Sprite,1,25.00,11,
,601667981587670,S10-WREPRP-POHB,Wire Protector - Pooh Bottom,1,29.00,11,
,601674788584596,S14-FIDGTY-MCJK,Fidget Toy - Metal Card - Joker,1,379.00,14,
,601698586769704,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,189.00,16,
,601698586769704,S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,1,199.00,14,
,601698586769704,S06-LDHAMP-LBDN,Laundry Hamper - Large Blue Dinosaur,1,189.00,15,
,601698586769704,S09-MOSLED-WARM,Motion Sensor LED - Warm Light,1,89.00,14,
,601698586769704,S11-FABORG-BWCH,Fabric Foldable Rectangle Organizer - Black White Checkered,1,25.00,14,
,601698586769704,S09-MOSLED-COOL,Motion Sensor LED - Cool Light,1,89.00,14,
,601698586769704,S11-FABORG-WBCH,Fabric Foldable Rectangle Organizer - White Black Checkered,1,25.00,14,
,601712578253869,S11-DIACO1-RLGN,Diatomite Coaster Design 1 - Hard - Round Light Green,1,39.00,16,
,601712578253869,S16-DIACO1-SLGN,Diatomite Coaster Design 1 - Hard - Square Light Green,1,39.00,16,
,601712578253869,S16-DIACO1-SGRY,Diatomite Coaster Design 1 - Hard - Square Gray,1,39.00,16,
,601712578253869,S11-DIACO1-RLBL,Diatomite Coaster Design 1 - Hard - Round Light Blue,1,39.00,14,
,601712578253869,S16-DIACO1-SLBL,Diatomite Coaster Design 1 - Hard - Square Light Blue,1,39.00,16,
,601712578253869,S16-DIACO1-SPNK,Diatomite Coaster Design 1 - Hard - Square Pink,1,39.00,16,
,597998890041931,S06-WBKEND-NSQR,Wooden Bookend - Nature Square Corner,2,99.00,16,
,601749182545440,S11-SQTOIL-NAVY,Square Toiletry Organizer - Navy,1,199.00,16,
,601753791420793,S11-TBTOIL-SBLU,Tube Toiletry Organizer - Sky Blue,1,179.00,11,
,601858769553068,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,225.00,17,
,601872745755394,S15-LDHAMP-MPFH,Laundry Hamper - Medium Pink Fox Hello,1,159.00,15,
,601872745755394,S11-LDHAMP-MRSY,Laundry Hamper - Medium Red Strawberry,1,159.00,15,
