,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,2312011QGQE4TF,S02-VACBTR-TR57,Vacuum Bags Transparent - 50x70cm,3,39.00,22,
,2312011QGQE4TF,S05-RFIDWL-RGLD,RFID Card Wallet - Rose Gold,1,55.00,22,
,2312011RBPG1PY,S13-MNYCLP-SLVR,Money Clip Steel - Silver,4,39.00,26,
,2312011T2J8JMH,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,239.00,26,
,2312011TQ3ARKX,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,27,
,231201204U7435,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,27,
,231201204U7435,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,27,
,23120128ASYSN8,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,175.00,27,
,2312012DTWA5UC,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,27,
,2312012JS86QA4,S20-8TBOTS-BLUE,8-in-1 Travel Bottle Set - Stupid Little Elephant - Blue,5,99.00,27,
,2312012K6S4J44,S02-TOILOR-WINE,Travel Toiletry Organizer - Wine,1,199.00,27,
,2312012K9TDK8V,S22-LMSWST-GREN,Plain Leather Magsafe Snap On Wallet with Stand - Green,1,149.00,28,
,2312012QN8M9E5,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,27,
,2312012XFYN5SR,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,27,
,23120130DMTUXS,S11-SQTOIL-NAVY,Square Toiletry Organizer - Navy,1,199.00,26,
,23120130DUEQ2R,S16-DIACO1-SLGN,Diatomite Coaster Design 1 - Hard - Square Light Green,1,40.00,24,
,23120130DUEQ2R,S11-DIACO1-RGRY,Diatomite Coaster Design 1 - Hard - Round Gray,1,40.00,26,
,2312013460QVF0,S22-PLMEDC-YLLW,Pill Shaped Medicine Storage with Pill Cutter - Yellow,1,99.00,22,
,23120137RX0YKR,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,27,
,23120137WD5CHP,S05-RFIDWL-GRAY,RFID Card Wallet - Gray,3,55.00,27,
,23120138E0BPMT,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,27,
,23120139S1DYK4,S22-CEJTWT-BRWN,Card Ejector with Leather Wallet - Brown,1,199.00,25,
,2312013C3DRG5W,S11-DIACO1-RGRY,Diatomite Coaster Design 1 - Hard - Round Gray,2,40.00,26,
,2312013CQ7YH0X,S11-SQTOIL-BLCK,Square Toiletry Organizer - Black,1,199.00,26,
,2312013D86NMU8,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,2,199.00,27,
,2312013D86NMU8,S05-RFIDWL-GRAY,RFID Card Wallet - Gray,1,55.00,27,
,2312013D86NMU8,S05-RFIDWL-BLCK,RFID Card Wallet - Black,1,55.00,27,
,2312013E9UAKXG,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,27,
,2312013E9UAKXG,S22-LMSWST-BRWN,Plain Leather Magsafe Snap On Wallet with Stand - Brown,1,149.00,27,
,2312013EKVQXV7,S24-GROWBG-LB05,Gardening Grow Bag - Light Brown - 5 Gallon (30*25cm),1,69.00,26,
,2312013EKVQXV7,S22-GROWBG-GY10,Gardening Grow Bag - Gray - 10 Gallon (40*30cm),2,89.00,"26, 27",
,2312013K4FW3KR,S04-WREPRP-MELO,Wire Protector - My Melody,3,20.00,24,
,2312013K9YEUM3,S27-LMSWS2-BLCK,Plain Leather Magsafe Snap On Wallet with Stand Design 2 - Black,1,139.00,27,
,2312013KRHRFES,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,27,
,2312013KWVGQDN,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,27,
,2312013KWVGQDN,S19-LMFPSS-SLVR,PU Leather Multi-function Passport Holder - Silver,1,119.00,27,
,2312013KWVGQDN,S20-8TBOTS-GRAY,8-in-1 Travel Bottle Set - Stupid Little Elephant - Gray,1,99.00,27,
