,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,231001PY3631KQ,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,250.00,25,
,231001Q2AXS9RK,S02-TOILOR-PURP,Travel Toiletry Organizer - Purple,1,250.00,22,
,231001Q2AXS9RK,S18-MEDCUT-WHTE,Portable Medicine Box with Pill Cutter - White/Yellow,1,140.00,18,
,231001Q2AXS9RK,S20-PRSBT1-PINK,10ml Perfume Alcohol Spray Bottle - Pink,1,50.00,22,
,231001Q2AXS9RK,S20-PRSBT1-TPRT,10ml Perfume Alcohol Spray Bottle - Transparent,1,50.00,22,
,231001Q2RJKP1H,S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,1,199.00,21,
,231001Q3STW9R2,S06-WBKEND-NRND,Wooden Bookend - Nature Round Corner,2,120.00,20,
,231001QAF57D78,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,250.00,25,
,231001QP138VFR,S14-PCTOIL-BLUE,Pouch Toiletry Organizer - Blue,1,180.00,22,
,231001QVTUQCSP,S06-LDHAMP-LHPP,Laundry Hamper - Large Hippo,1,189.00,22,
,231001QWPESMBM,S14-MGSWLT-VIOL,Magsafe Wallet - Violet,1,139.00,20,
,231001QWYFTA7Y,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,1,199.00,24,
,231001R04YQQEJ,S10-LDHAMP-SDIN,Laundry Hamper - Small Dinosaurs,1,99.00,25,
,231001R05NNUDX,S11-SQTOIL-BLCK,Square Toiletry Organizer - Black,1,199.00,23,
,231001R0R6WHET,S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,1,199.00,19,
,231001R0R6WHET,S06-LDHAMP-LHPP,Laundry Hamper - Large Hippo,1,189.00,22,
,231001R2HX54PM,S21-LDHAMP-LEXC,Laundry Hamper - Large Excavator,1,199.00,22,
,231001R4XSMNC1,S22-LMSWST-PURP,Plain Leather Magsafe Snap On Wallet with Stand - Purple,1,149.00,25,
,231001R58FKVJN,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,25,
,231001R60WNX3X,S14-PCTOIL-BLUE,Pouch Toiletry Organizer - Blue,1,139.00,22,
,231001R63DPEG1,S08-FOLDFL-LLGY,Foldable File Organizer - Large Light Gray,1,89.00,22,
,231001R7V0REDJ,S23-LMFPSS-REDD,PU Leather Multi-function Passport Holder - Red,1,119.00,25,
,231001RD56SQNB,S16-DIACO1-SPNK,Diatomite Coaster Design 1 - Hard - Square Pink,2,40.00,17,
,231001RGQYC39W,S19-LDHAMP-MCTV,Laundry Hamper - Medium Construction Vehicles,1,159.00,19,
,231001RHRSDE8Y,S22-LMSWST-NAVY,Plain Leather Magsafe Snap On Wallet with Stand - Navy,1,149.00,24,
,231001RHWB8AN1,S08-WREPRP-SPRT,Wire Protector - Sprite,2,20.00,16,
,231001RHWB8AN1,S03-WREPRP-PEPS,Wire Protector - Pepsi,2,20.00,16,
,231001RMQRQ4QQ,S05-RFIDWL-RGLD,RFID Card Wallet - Rose Gold,1,55.00,22,
,231001RP5DRHH0,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,189.00,23,
,231001RQGNJ94C,S18-DIACO1-RDGY,Diatomite Coaster Design 1 - Hard - Round Dark Gray,2,45.00,24,
,231001RRC7MT7P,S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,1,159.00,20,
,231001RRPT75F3,S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,1,199.00,19,
,231001RRPT75F3,S23-INFNPL-GREN,Inflatable Travel Neck Pillow  - Green,1,88.00,23,
,231001RS00WYY8,S05-RFIDWL-REDD,RFID Card Wallet - Red,1,55.00,22,
,231001RS00WYY8,S05-RFIDWL-SLVR,RFID Card Wallet - Silver,1,55.00,19,
,231001RSN714FR,S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,1,199.00,21,
,231001RT2M6D5W,S04-WBKEND-0RND,Wooden Bookend - No Print Round Corner,1,99.00,20,
,231001RTDAHD44,S22-LDHAMP-MGCB,Laundry Hamper - Medium Green Cloud Bear,1,159.00,25,
,231001RTDAHD44,S10-LDHAMP-SCAT,Laundry Hamper - Small Cats,1,99.00,24,
,231001RTDAHD44,S02-VACBTR-TR57,Vacuum Bags Transparent - 50x70cm,1,33.80,22,
,231001RTDAHD44,S02-VACBTR-TR68,Vacuum Bags Transparent - 60x80cm,1,42.47,20,
,231001RTDAHD44,S02-VACBTR-TR7H,Vacuum Bags Transparent - 70x100cm,1,59.80,20,
,231001RTDAHD44,S02-VACBTR-HPMP,Vacuum Bags Transparent - Hand Pump,1,33.80,25,
,231001RTDAHD44,S02-VACBHR-S350,Vacuum Bags Handroll - Sea 35x50cm,1,25.13,14,
,231001RTDAHD44,S03-WREPRP-MICM,Wire Protector - Mickey Mouse,2,23.00,18,
,231001RVWPHKN7,S03-FOLDFL-LAPR,Foldable File Organizer - Large Apricot,2,89.00,23,
,231001S01WRPAU,S14-MGSWLT-BLCK,Magsafe Wallet - Black,1,139.00,22,
,231001S0FDRUSM,S02-TOILOR-PURP,Travel Toiletry Organizer - Purple,1,199.00,22,
,231001S0FDRUSM,S11-FABORG-BWCH,Fabric Foldable Rectangle Organizer - Black White Checkered,1,25.00,19,
,231001S367V0B2,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,25,
,231001S3CXE225,S05-RFIDWL-GRAY,RFID Card Wallet - Gray,3,55.00,20,
,231001S3CXE225,S05-RFIDWL-BLUE,RFID Card Wallet - Blue,3,55.00,18,
,231001S3CXE225,S05-RFIDWL-RGLD,RFID Card Wallet - Rose Gold,3,55.00,22,
,231001S3CXE225,S22-CEJTWT-BLCK,Card Ejector with Leather Wallet - Black,2,199.00,25,
,231001S3CXE225,S22-CEJTWT-BRWN,Card Ejector with Leather Wallet - Brown,3,199.00,24,
,231001S4N6VHSW,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,25,
,231001S4WY65J4,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,25,
,231001S5WEAJRK,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,25,
,231001S874RJ31,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,22,
,231001S8W1PE08,S07-WREPRP-LGMN,Wire Protector - Little Green Men,1,20.00,16,
,231001S8W1PE08,S08-WREPRP-SPRH,Wire Protector - Spiderman Head,1,25.00,20,
,231002SFJNM8JQ,S10-LDHAMP-SCAT,Laundry Hamper - Small Cats,1,99.00,24,
,231002SHDF7QM5,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,22,
,231002SKSC6AR0,S05-RFIDWL-RGLD,RFID Card Wallet - Rose Gold,1,55.00,22,
,231002SKSC6AR0,S22-CEJTWT-BRWN,Card Ejector with Leather Wallet - Brown,1,199.00,24,
,231002SP7A1X71,S16-SLCODR-BLCK,Silicone Coaster Design Drain - Black,2,42.00,22,
,231002SP7A1X71,S16-SLCODR-CREM,Silicone Coaster Design Drain - Cream,2,42.00,20,
,231002T0XX035U,S05-RFIDWL-BLCK,RFID Card Wallet - Black,1,55.00,20,
,231002T39MTX35,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,25,
,231002T4BDAKMS,S04-WBKEND-0RND,Wooden Bookend - No Print Round Corner,2,99.00,20,
